Ibanez,PWM20 B-Stock,£798
Ibanez,RG631ALF-BCM B-Stock,£714
Epiphone,Les Paul Custom Alpine B-Stock,£511
Harley Benton,Amarok-6 BKNT Flame Bu B-Stock,£368
ESP,LTD EC-256FM DBSB B-Stock,£381
Harley Benton,RG-Junior BK LH B-Stock,£62
Harley Benton,Electric Guitar Kit T- B-Stock,£72
Gretsch,G5655TG Electromatic A B-Stock,£688
Ibanez,RGA42HPT-LBM B-Stock,£688
Epiphone,Wilshire P-90 Ebony B-Stock,£299
Harley Benton,MR-Classic BK B-Stock,£168
Epiphone,Casino LH VS B-Stock,£474
Harley Benton,TE-62CC DR B-Stock,£122
Ibanez,RGRT421-WK B-Stock,£363
Harley Benton,SC-200BK Mini B-Stock,£85
Harley Benton,MB-20BK Rock Series B-Stock,£98
Fender,AM Pro II Tele DLX 3TS B-Stock,"£1,579"
ESP,LTD MH-1000 Evertune F B-Stock,"£1,050"
Höfner,HCT-VTH-R Verythin Con B-Stock,£441
Harley Benton,Fusion-T HH HT EB PSP B-Stock,£259
Cort,KX307MS Open Pore Maha B-Stock,£315
Fender,Vintera 60s Jaguar OT B-Stock,£866
Harley Benton,ST-20 CA Standard Seri B-Stock,£72
Yamaha,Revstar RSS20 Lefthand B-Stock,£619
Ibanez,AZES31-VM B-Stock,£230
Guild,Starfire I DC Vintage  B-Stock,£385
Harley Benton,MR-Modern PWH B-Stock,£218
Squier,CV 60s Mustang LRL B-Stock,£318
Traveler Guitar,TR Vaibrant 88 DLX P B-Stock,£443
Harley Benton,EX-84 LH Modern WH B-Stock,£240
Zivix,Jamstik Studio BK B-Stock,£811
Squier,Bullet Strat SB B-Stock,£130
Squier,Bullet Mustang B-Stock,£113
Charvel,Pro-Mod So-Cal Style 1 B-Stock,£619
Evh,5150 Standard Stealth  B-Stock,£679
Gretsch,G2622 PM Streamliner B-Stock,£349
Gretsch,G5220 Elmtc. Jet BT SC B-Stock,£333
Sterling by Music Man,SUB CT30 Cutlass HSS S B-Stock,£381
Charvel,Angel Vivaldi DK24-7 S B-Stock,"£1,019"
Dean Guitars,Exile SL Multiscale 6  B-Stock,"£1,274"
Harley Benton,Fusion-III HH FR Roast B-Stock,£288
Fender,AM Pro II Strat RST PI B-Stock,"£1,444"
Fender,AM Ultra Strat RW Ultr B-Stock,"£1,758"
PRS,Custom 24 Piezo YI B-Stock,"£3,799"
Chapman Guitars,ML3 Pro Trad Semi Holl B-Stock,£689
ESP,LTD SN-200HT DMPS B-Stock,£331
Harley Benton,ST-62CC RW Inca Silver B-Stock,£120
PRS,CE 24 Semi Hollow CC B-Stock,"£2,111"
Harley Benton,DC-Junior FAT Pelham B B-Stock,£199
Squier,CV 70s Jazzmaster LRL  B-Stock,£341
ESP,LTD Mirage Deluxe ´87  B-Stock,£874
Harley Benton,Fusion-T HH Roasted SB B-Stock,£351
ESP,LTD MH-200QM NT STBC B-Stock,£399
Epiphone,Les Paul Standard 50`s B-Stock,£479
Cort,X-300 Flip Purple B-Stock,£385
Squier,Strat 40th Anniv SFG B-Stock,£349
Sterling by Music Man,SUB CT30 Cutlass HSS V B-Stock,£333
Cort,KX700 Evertune Open Po B-Stock,£795
PRS,CE 24 Dustie Waring Fl B-Stock,"£2,299"
Solar Guitars,GC1.6 Vinter Pearl Whi B-Stock,£929
Charvel,Pro-Mod DK24 HSS FR E  B-Stock,£843
Fender,Player Series Jazzmast B-Stock,£541
Jackson,DKR MAH Dinky MJ Serie B-Stock,"£1,385"
Charvel,AVS Pro-Mod DK24-6 Nov B-Stock,£873
Epiphone,Les Paul Modern Figure B-Stock,£484
Sterling by Music Man,Cutlass CT50HSS Daphne B-Stock,£688
ESP,E-II EX NT SW B-Stock,"£1,859"
PRS,S2 Custom 24 Birds EY B-Stock,"£1,548"
Legator,N8FX-Blood Moon B-Stock,"£1,899"
Fender,Player Plus Nashv. Tel B-Stock,£755
BC Rich,Shredzilla Pro Archtop B-Stock,"£1,199"
Epiphone,Les Paul Custom Ebony  B-Stock,£525
Kramer Guitars,Baretta Ebony B-Stock,£568
Legator,N6FP White B-Stock,£611
Yamaha,Pac 1611 MS Mike Stern B-Stock,"£1,325"
FGN,J-Standard Odyssey Tra B-Stock,£743
Godin,Session HT Trans Cream B-Stock,£866
Framus,D-Series Idolmaker BBT B-Stock,£555
Dean Guitars,Custom Zone FP B-Stock,£157
Gretsch,G5232LH Emtc DBL Jet F B-Stock,£444
Cort,G290 FAT II Bright Blu B-Stock,£479
Ibanez,AS93FM-AYS B-Stock,£564
PRS,John Mayer Silver Sky  B-Stock,"£2,275"
FGN,J-Standard Odyssey DU  B-Stock,£874
Fender,Player Plus Meteora PF B-Stock,£755
Traveler Guitar,EG-1 Custom V2 Gloss B B-Stock,£611
Yamaha,Pacifica 120H BK B-Stock,£230
Gretsch,G5222LH EMTC D. Jet BT B-Stock,£475
Schecter,Nick Johnston Tradit.S B-Stock,£735
Squier,Contemp Strat Special  B-Stock,£314
Framus,D-Series Panthera Supr B-Stock,£594
Schecter,Rob Scallon C-7 SDR B-Stock,"£1,319"
Guild,X-175 Manhattan Specia B-Stock,"£1,299"
Godin,Stadium HT Trans White B-Stock,£953
Schecter,Sun Valley Super Shred B-Stock,"£1,279"
Gibson,SG Standard Reissue Ch B-Stock,"£3,222"
Godin,Radium Winchester Brow B-Stock,"£1,035"
Fender,Jim Root Jazzmaster Ar B-Stock,"£1,099"
Solar Guitars,E1.7 FBB B-Stock,£999
Guild,Starfire I DC Pelham B-Stock,£429
